Date,Open,High,Low,Close,Adj Close, Volume 
12/20/2017,179.81,179.81,177.36,177.89,177.89,"11,860,500"
12/21/2017,177.94,178.68,177.05,177.45,177.45,"11,600,700"
12/22/2017,177.14,177.53,176.23,177.2,177.2,"8,509,500"
12/26/2017,176.63,177,174.67,175.99,175.99,"8,897,300"
12/27/2017,176.55,178.44,176.26,177.62,177.62,"9,496,100"
12/28/2017,177.95,178.94,177.68,177.92,177.92,"12,220,800"
12/29/2017,178,178.85,176.46,176.46,176.46,"10,261,500"
1/2/2018,177.68,181.58,177.55,181.42,181.42,"18,151,900"
1/3/2018,181.88,184.78,181.33,184.67,184.67,"16,886,600"
1/4/2018,184.9,186.21,184.1,184.33,184.33,"13,880,900"
1/5/2018,185.59,186.9,184.93,186.85,186.85,"13,574,500"
1/8/2018,187.2,188.9,186.33,188.28,188.28,"17,994,700"
1/9/2018,188.7,188.8,187.1,187.87,187.87,"12,393,100"
1/10/2018,186.94,187.89,185.63,187.84,187.84,"10,529,900"
1/11/2018,188.4,188.4,187.38,187.77,187.77,"9,588,600"
1/12/2018,178.06,181.48,177.4,179.37,179.37,"77,551,300"
1/16/2018,181.5,181.75,178.04,178.39,178.39,"36,183,800"
1/17/2018,179.26,179.32,175.8,177.6,177.6,"27,992,400"
1/18/2018,178.13,180.98,177.08,179.8,179.8,"23,304,900"
1/19/2018,180.85,182.37,180.17,181.29,181.29,"26,826,500"
1/22/2018,180.8,185.39,180.41,185.37,185.37,"21,059,500"
1/23/2018,186.05,189.55,185.55,189.35,189.35,"25,678,800"
1/24/2018,189.89,190.66,186.52,186.55,186.55,"24,334,500"
1/25/2018,187.95,188.62,186.6,187.48,187.48,"17,377,700"
1/26/2018,187.75,190,186.81,190,190,"17,759,200"
1/29/2018,188.75,188.84,185.63,185.98,185.98,"20,453,200"
1/30/2018,187.62,188.18,181.84,187.12,187.12,"20,858,600"
1/31/2018,188.37,189.83,185.22,186.89,186.89,"43,275,100"
2/1/2018,188.22,195.32,187.89,193.09,193.09,"54,211,300"
2/2/2018,192.04,194.21,189.98,190.28,190.28,"26,677,500"
2/5/2018,186.93,190.61,180.61,181.26,181.26,"33,128,200"
2/6/2018,178.57,185.77,177.74,185.31,185.31,"37,758,500"
2/7/2018,184.15,185.08,179.95,180.18,180.18,"27,601,900"
2/8/2018,181.01,181.84,171.48,171.58,171.58,"38,478,300"
2/9/2018,174.76,176.9,167.18,176.11,176.11,"39,887,600"
2/12/2018,177.06,177.55,171.84,176.41,176.41,"32,092,100"
2/13/2018,175.62,175.97,173.1,173.15,173.15,"21,809,400"
2/14/2018,173.45,179.81,173.21,179.52,179.52,"28,929,700"
2/15/2018,180.5,180.5,176.84,179.96,179.96,"20,922,100"
2/16/2018,178.99,179.88,176.3,177.36,177.36,"20,645,300"
2/20/2018,175.77,177.95,175.11,176.01,176.01,"21,204,900"
2/21/2018,176.71,181.27,176.4,177.91,177.91,"23,200,800"
2/22/2018,178.7,180.21,177.41,178.99,178.99,"18,464,200"
2/23/2018,179.9,183.39,179.51,183.29,183.29,"19,007,300"
2/26/2018,184.58,185.66,183.22,184.93,184.93,"17,599,700"
2/27/2018,184.45,184.7,181.46,181.46,181.46,"15,849,800"
2/28/2018,182.3,182.88,178.14,178.32,178.32,"18,783,000"
3/1/2018,179.01,180.12,174.41,175.94,175.94,"23,201,600"
3/2/2018,173.29,177.11,172.99,176.62,176.62,"20,025,900"
3/5/2018,176.2,181.15,175.89,180.4,180.4,"16,189,300"
3/6/2018,181.78,182.38,179.11,179.78,179.78,"15,086,800"
3/7/2018,178.74,183.82,178.07,183.71,183.71,"19,097,300"
3/8/2018,183.56,184.4,181.45,182.34,182.34,"17,225,900"
3/9/2018,183.91,185.51,183.21,185.23,185.23,"18,526,300"
3/12/2018,185.23,186.1,184.22,184.76,184.76,"15,301,200"
3/13/2018,185.61,185.99,181.11,181.88,181.88,"18,067,500"
3/14/2018,182.6,184.25,181.85,184.19,184.19,"16,821,700"
3/15/2018,183.24,184,182.19,183.86,183.86,"15,614,300"
3/16/2018,184.49,185.33,183.41,185.09,185.09,"24,403,400"
3/19/2018,177.01,177.17,170.06,172.56,172.56,"88,140,100"
3/20/2018,167.47,170.2,161.95,168.15,168.15,"129,851,800"
3/21/2018,164.8,173.4,163.3,169.39,169.39,"106,598,800"
3/22/2018,166.13,170.27,163.72,164.89,164.89,"73,743,000"
3/23/2018,165.44,166.6,159.02,159.39,159.39,"53,609,700"
3/26/2018,160.82,161.1,149.02,160.06,160.06,"126,116,600"
